#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
        6000       3.741145e-03       2.345136e-04       2.122100e-03       2.602656e-02       2.885404e-03       1.153500e-02
        6100       4.260868e-03       1.850118e-04       2.312081e-03       2.428432e-02       3.392105e-03       1.192310e-02
        6200       4.245951e-03       1.103899e-04       2.237923e-03       2.583272e-02       3.020315e-03       1.200549e-02
        6300       4.062493e-03       1.880293e-04       2.216717e-03       2.775083e-02       3.689173e-03       1.173241e-02
        6400       3.760987e-03       1.126739e-04       2.101312e-03       2.807498e-02       2.394588e-03       1.178543e-02
        6500       3.850733e-03       2.905048e-04       2.090782e-03       2.749718e-02       3.111527e-03       1.184268e-02
        6600       4.203361e-03       2.788329e-04       2.390136e-03       2.861232e-02       3.724405e-03       1.129453e-02
        6700       4.167960e-03       1.892114e-04       2.257851e-03       2.773410e-02       3.244767e-03       1.197208e-02
        6800       4.079399e-03       1.308258e-04       2.277302e-03       2.454950e-02       3.595990e-03       1.223284e-02
        6900       3.870184e-03       1.435589e-04       2.078367e-03       2.925183e-02       3.639839e-03       1.192929e-02
        7000       3.952606e-03       6.304681e-05       2.071368e-03       2.883129e-02       2.376933e-03       1.169566e-02
        7100       4.139546e-03       1.661240e-04       2.253007e-03       2.700867e-02       2.899815e-03       1.180890e-02
        7200       3.997359e-03       2.172273e-04       2.234092e-03       2.795954e-02       3.744381e-03       1.232219e-02
        7300       3.746741e-03       6.023195e-05       2.139899e-03       2.675875e-02       2.950006e-03       1.200232e-02
        7400       3.691565e-03       1.682684e-04       2.126780e-03       2.895768e-02       3.870833e-03       1.153535e-02
        7500       3.702242e-03       1.479626e-04       2.029016e-03       2.691232e-02       3.400827e-03       1.175066e-02
        7600       4.264922e-03       1.438256e-04       2.351498e-03       2.719691e-02       3.038201e-03       1.193537e-02
        7700       3.927485e-03       1.495299e-04       2.135427e-03       3.271580e-02       3.085194e-03       1.228664e-02
        7800       3.894151e-03       9.166583e-05       2.134147e-03       2.688738e-02       2.697211e-03       1.165371e-02
        7900       3.906152e-03       2.237306e-04       2.244269e-03       2.445653e-02       3.845682e-03       1.129772e-02
        8000       4.131749e-03       1.538852e-04       2.243855e-03       3.394610e-02       1.995487e-03       1.156493e-02
        8100       3.925195e-03       1.070722e-04       2.218630e-03       2.830662e-02       3.332297e-03       1.192582e-02
        8200       3.959423e-03       1.468031e-04       2.170410e-03       2.766222e-02       2.851525e-03       1.192768e-02
        8300       4.098930e-03       2.257477e-04       2.190117e-03       3.185634e-02       2.050528e-03       1.173284e-02
        8400       4.618343e-03       1.104997e-04       2.411849e-03       2.696877e-02       2.673179e-03       1.183610e-02
        8500       4.181880e-03       2.153253e-04       2.104952e-03       2.940644e-02       3.940093e-03       1.201100e-02
        8600       3.877590e-03       2.711551e-04       2.172542e-03       2.688947e-02       3.643841e-03       1.183586e-02
        8700       4.145055e-03       1.371402e-04       2.355492e-03       2.594406e-02       2.672706e-03       1.122826e-02
        8800       3.981188e-03       8.244210e-05       2.214801e-03       2.412058e-02       3.719870e-03       1.152893e-02
        8900       4.074935e-03       9.234267e-05       2.225006e-03       2.706974e-02       3.365358e-03       1.190800e-02
        9000       4.177829e-03       1.376891e-04       2.194791e-03       2.649541e-02       3.302891e-03       1.205138e-02
        9100       3.869415e-03       1.944193e-04       2.109028e-03       2.781335e-02       3.818764e-03       1.197106e-02
        9200       4.229240e-03       1.297693e-04       2.317604e-03       2.823080e-02       3.011948e-03       1.160941e-02
        9300       3.787604e-03       7.975732e-05       2.098213e-03       2.668559e-02       3.619975e-03       1.201199e-02
        9400       4.014618e-03       1.960798e-04       2.195961e-03       2.750930e-02       4.351786e-03       1.190379e-02
