#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
        6000       1.002780e+00       1.819191e-03       5.730063e-01       2.149118e+00       1.371816e-01       6.240253e-01
        6100       9.959411e-01       9.246993e-03       5.655174e-01       2.055193e+00       1.394030e-01       6.357022e-01
        6200       9.951710e-01       8.397342e-03       5.637436e-01       2.522749e+00       1.382242e-01       6.333044e-01
        6300       1.005832e+00       9.836939e-03       5.744893e-01       2.083749e+00       1.774606e-01       6.418523e-01
        6400       1.009010e+00       1.107650e-02       5.720195e-01       2.139178e+00       1.493619e-01       6.250649e-01
        6500       1.004402e+00       8.668454e-03       5.715635e-01       2.176589e+00       1.280405e-01       6.148906e-01
        6600       1.010994e+00       8.443697e-03       5.779563e-01       2.100461e+00       1.440831e-01       6.168416e-01
        6700       1.022460e+00       4.674039e-03       5.877137e-01       2.921077e+00       1.528865e-01       6.378407e-01
        6800       9.900618e-01       3.714216e-03       5.643525e-01       2.259240e+00       1.576412e-01       6.405263e-01
        6900       9.871338e-01       6.875212e-03       5.626582e-01       2.731654e+00       1.642199e-01       6.386695e-01
        7000       1.008015e+00       7.552852e-03       5.738223e-01       2.195726e+00       1.123861e-01       6.361312e-01
        7100       9.644540e-01       8.975572e-03       5.512206e-01       2.372916e+00       1.316770e-01       6.262108e-01
        7200       9.871770e-01       8.727364e-03       5.617442e-01       2.006547e+00       1.218847e-01       6.324711e-01
        7300       9.494784e-01       5.211331e-03       5.422764e-01       1.989199e+00       1.316124e-01       6.206785e-01
        7400       9.639034e-01       8.945076e-03       5.469211e-01       1.838507e+00       1.293762e-01       6.057086e-01
        7500       9.922096e-01       9.952540e-03       5.673425e-01       2.243899e+00       1.107073e-01       6.091986e-01
        7600       9.282080e-01       1.003466e-02       5.332623e-01       1.617242e+00       1.419065e-01       6.050251e-01
        7700       9.694273e-01       2.673992e-03       5.507282e-01       2.254125e+00       1.418237e-01       6.276490e-01
        7800       1.003363e+00       3.495030e-03       5.738163e-01       2.288016e+00       1.580621e-01       6.269541e-01
        7900       9.781054e-01       4.524155e-03       5.574594e-01       2.231549e+00       1.292045e-01       6.313309e-01
        8000       9.945891e-01       6.099087e-03       5.669429e-01       2.233189e+00       1.641982e-01       6.401639e-01
        8100       1.003628e+00       1.132786e-02       5.710656e-01       2.091534e+00       1.532698e-01       6.398451e-01
        8200       1.008803e+00       7.250438e-03       5.777964e-01       2.912424e+00       1.668585e-01       6.516380e-01
        8300       9.946990e-01       4.008433e-03       5.637407e-01       2.238237e+00       1.381748e-01       6.407761e-01
        8400       1.006818e+00       6.746736e-03       5.744817e-01       2.388008e+00       1.110242e-01       6.449765e-01
        8500       9.952252e-01       5.229218e-03       5.663950e-01       2.965560e+00       1.588513e-01       6.510641e-01
        8600       9.978579e-01       9.143617e-03       5.714449e-01       2.195917e+00       1.513116e-01       6.476283e-01
        8700       9.882763e-01       9.639334e-03       5.697766e-01       2.104905e+00       1.371412e-01       6.395853e-01
        8800       9.838565e-01       4.345941e-03       5.664628e-01       1.871610e+00       1.500818e-01       6.417959e-01
        8900       1.023105e+00       6.459085e-03       5.876976e-01       2.121227e+00       1.154517e-01       6.691762e-01
        9000       1.017451e+00       7.500617e-03       5.852627e-01       2.429915e+00       1.489850e-01       6.642508e-01
        9100       1.020824e+00       3.455167e-03       5.850040e-01       2.167347e+00       1.235029e-01       6.640660e-01
        9200       1.049402e+00       1.231172e-02       5.978460e-01       2.138954e+00       1.508610e-01       6.834316e-01
        9300       1.037596e+00       1.194628e-02       5.951914e-01       2.037185e+00       1.523231e-01       6.850310e-01
        9400       1.033712e+00       8.188617e-03       5.840203e-01       2.756045e+00       1.790306e-01       6.838427e-01
        9500       1.025863e+00       1.277355e-02       5.827097e-01       1.979721e+00       1.680800e-01       6.742594e-01
        9600       1.002873e+00       2.257533e-03       5.739896e-01       2.069072e+00       1.514207e-01       6.659767e-01
        9700       1.027511e+00       1.284158e-02       5.843655e-01       2.455007e+00       1.682930e-01       6.774171e-01
        9800       1.044266e+00       7.462194e-03       5.877081e-01       2.248514e+00       1.115321e-01       6.720907e-01
        9900       1.038850e+00       5.587455e-03       5.920376e-01       2.356031e+00       8.852490e-02       6.824218e-01
       10000       1.015061e+00       5.952965e-03       5.790562e-01       2.621761e+00       1.718175e-01       6.725437e-01
       10100       1.035277e+00       8.142211e-03       5.909047e-01       2.485524e+00       1.592408e-01       6.760766e-01
       10200       1.034252e+00       5.850152e-03       5.884958e-01       2.103180e+00       1.480705e-01       6.964063e-01
       10300       1.032626e+00       5.138917e-03       5.898343e-01       2.117044e+00       1.863925e-01       6.780797e-01
       10400       1.022438e+00       2.814339e-03       5.833556e-01       2.078382e+00       1.345239e-01       6.797196e-01
       10500       1.023174e+00       3.760316e-03       5.832408e-01       2.035330e+00       1.549339e-01       6.789924e-01
       10600       1.025300e+00       3.484766e-03       5.856461e-01       1.985186e+00       1.581128e-01       6.879989e-01
       10700       9.961913e-01       6.916024e-03       5.660270e-01       2.270319e+00       1.696397e-01       6.586977e-01
       10800       1.033130e+00       7.288946e-03       5.880259e-01       2.419386e+00       1.738967e-01       6.854546e-01
       10900       1.029430e+00       1.947895e-03       5.853747e-01       2.435974e+00       1.353848e-01       6.701536e-01
       11000       1.044785e+00       4.856994e-03       5.964558e-01       1.975292e+00       1.233018e-01       6.758057e-01
       11100       1.035125e+00       7.439305e-03       5.886675e-01       2.051118e+00       1.507817e-01       6.660797e-01
       11200       1.055153e+00       5.220743e-03       6.048810e-01       2.083342e+00       1.581198e-01       6.781424e-01
       11300       1.076998e+00       8.221630e-03       6.131443e-01       3.061433e+00       1.332059e-01       6.913892e-01
       11400       1.073721e+00       4.913407e-03       6.094889e-01       2.451684e+00       1.353128e-01       6.921343e-01
       11500       1.082424e+00       6.488612e-03       6.099384e-01       2.418372e+00       1.431759e-01       6.810033e-01
       11600       1.086770e+00       2.783943e-03       6.221535e-01       1.921371e+00       1.458525e-01       6.985062e-01
       11700       1.081252e+00       2.816087e-03       6.202374e-01       2.749985e+00       1.606029e-01       7.183137e-01
       11800       1.079358e+00       5.373553e-03       6.168355e-01       2.375640e+00       1.860394e-01       7.078931e-01
       11900       1.058483e+00       6.946794e-03       6.023147e-01       2.484705e+00       1.495889e-01       6.773616e-01
       12000       1.047156e+00       1.094923e-02       5.951957e-01       1.992299e+00       1.128255e-01       6.828567e-01
       12100       1.061620e+00       5.848632e-03       6.005991e-01       2.139729e+00       1.296198e-01       6.802505e-01
       12200       1.043664e+00       3.865815e-03       5.901365e-01       2.158480e+00       1.822953e-01       6.712884e-01
       12300       1.025997e+00       6.843068e-03       5.821572e-01       2.337505e+00       1.089489e-01       6.703094e-01
       12400       1.084866e+00       8.357459e-03       6.065214e-01       2.567173e+00       1.532263e-01       6.937367e-01
       12500       1.055031e+00       8.791215e-03       5.885191e-01       2.490365e+00       1.200380e-01       6.838209e-01
       12600       1.028883e+00       5.353180e-03       5.787155e-01       2.139568e+00       1.045159e-01       6.756180e-01
       12700       1.012666e+00       7.438860e-03       5.775958e-01       2.362258e+00       1.548665e-01       6.814424e-01
       12800       1.043800e+00       1.030391e-02       5.957977e-01       2.039827e+00       1.622298e-01       6.925599e-01
       12900       1.030176e+00       1.253518e-02       5.856405e-01       2.214991e+00       2.025925e-01       7.044377e-01
       13000       1.081106e+00       1.281672e-02       6.108901e-01       2.390145e+00       1.440298e-01       7.039334e-01
       13100       1.061406e+00       1.050153e-02       6.023867e-01       2.167040e+00       1.557383e-01       7.099252e-01
       13200       1.064076e+00       6.727080e-03       5.996312e-01       2.592205e+00       1.464516e-01       6.926088e-01
       13300       1.049646e+00       6.061800e-03       5.883440e-01       2.215628e+00       1.803784e-01       6.882827e-01
       13400       1.072937e+00       5.778640e-03       6.007997e-01       2.455115e+00       1.480379e-01       6.959256e-01
       13500       1.052120e+00       7.833921e-03       5.890336e-01       2.606628e+00       1.748278e-01       7.026157e-01
